A17	IGKV2-30
A18b	IGKV2-29
A18	IGKV2-29
A190	POLR1A
A19	IGKV2-28
A1A	SERPINA1
a1	ATP6V0A1
A1AT	SERPINA1
A1B	A1BG
A1BG	A1BG
A1BG-AS1	A1BG-AS1
A1BG-AS	A1BG-AS1
A1BGAS	A1BG-AS1
A1B	SNTB1
A1CF	A1CF
A1	IGKV2D-30
A1M	AMBP
A1	RFC1
A1	RFC4
A1S9T	UBA1
A1S9	UBA1
A1ST	UBA1
A1Up	UBQLN4
A1U	UBQLN4
A20	IGKV1-27
A20	TNFAIP3
A211C6.1	LYRM1
A21	IGKV2-26
A22	IGKV3-25
A23	IGKV2-24
A24	IGKV2-23
A-259H10.2	HPR
A25	IGKV1-22
A26A1	POTEA
A26B1	POTEB
A26B2	POTEC
A26B3	LOC100288966
A26B3	POTED
A26C1A	POTEE
A26C1B	POTEF
A26C1	POTEE
A26C2	POTEG
A26C3	POTEH
A26	IGKV6-21
A-270G1.2	RRN3
A27	IGKV3-20
A28	IGKV2-19
A28-RGS14P	RGS16
A28-RGS14	RGS16
A29	IGKV2-18
A2a	IGKV2D-29
A2AP	SERPINF2
A2aR	ADORA2A
A2	ATP6V0A2
A2BP1	RBFOX1
A2c	IGKV2D-29
A2D	ATXN2L
A2	GPHA2
A-2	GPR162
A2HS	AHSG
A2LD1	GGACT
A2LG	ATXN2L
A2LP	ATXN2L
A2M	A2M
A2M-AS1	A2M-AS1
A2MD	A2M
A2ML1	A2ML1
A2MP1	A2MP1
A2MP	A2MP1
A2MRAP	LRPAP1
A2MR	LRP1
A2RAP	LRPAP1
A2RP	ATXN2L
A30	IGKV1-17
A-328A3.2	KIF22
A33	GPA33
A-388D4.1	SNX29
A3A	APOBEC3A
A3A	APOBEC3A_B
A3a	DAG1
A3AR	ADORA3
A3B	APOBEC3B
A3b	SGCB
A3C	APOBEC3C
A3D	APOBEC3D
A3F	APOBEC3F
A3GALNT	ABO
A3GALNT	GBGT1
A3GALT1	ABO
A3GALT2	A3GALT2
A3GALT2P	A3GALT2
A3G	APOBEC3G
A3H	APOBEC3H
A3	IGKV2D-28
a3	TCIRG1
A4a	IGKV1D-27
A4	ATP6V0A4
A4GALT1	A4GALT
A4GALT	A4GALT
A4GNT	A4GNT
A4	IGKV1D-27
A4LSB	PLP2
A4	PLP2
A4	SGCG
A530083I02Rik	NBEAL1
A-575C2.4	NPIPB7
A5	IGKV2D-26
A6	IGKV3D-25
A6ps1	TWF1P1
A6ps2	TWF1P2
A6RP	TWF2
A6r	TWF2
A6	TWF1
A7322	ARFGEF3
A-761H5.2	CDC37P1
A-761H5.4	NPIPB15
A-761H5.5	NPIPB7
A7	IGKV2D-24
A8-51	ZNF3
A8	IGKV2D-23
A-923A4.1	ACSM2A
A930014I12Rik	ESCO1
A9	IGKV1D-22
AA02	AA06
AA04	AA06
AA05	AA06
AA06	AA06
AAA1	NPSR1-AS1
AAA	AAAS
AAA	APP
AAAL3045	CLPSL2
AAAS	AAAS
AAASb	AAAS
AAA-TOB3	ATAD3B
AAAT	SLC1A5
AAAT	SLC1A7
AAC-11	API5
AAC11	API5
AAC1	NAT1
AAC1	SLC25A4
AAC2	NAT2
AAC2	SLC25A5
AAC3	SLC25A6
AAC4	SLC25A31
AACP	NATP
AACS	AACS
AACSL	AACSP1
AACSP1	AACSP1
AACT	SERPINA3
AAD10	KMT2D
AAD20	GLS
AADAC	AADAC
AADACL1	NCEH1
AADACL2	AADACL2
AADACL2-AS1	AADACL2-AS1
AADACL3	AADACL3
AADACL4	AADACL4
AADACP1	AADACP1
AADAT	AADAT
AADC	DDC
AAED1	PRXL2C
AAF-132	CTC1
AAF132	CTC1
AAF-44	STN1
AAF44	STN1
AAG11	FHL2
AAG12	MPP1
AAG13	S100A16
AAG1	EIF4G2
AAG2	ST13
AAG3	SRSF7
AAG4	CLU
AAG6	PRKCA
AAGAB	AAGAB
